SNO,Product_Variant,VOLUME,Price,BRAND,COUNTRY,Coutry of origin,Main_Category,Sub_Category,Sub_Sub_Category,SIZE,TYPES,Description
1178,CHATEAU CLINET POMEROL_750ML,750,42950,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Blason d’issan, our second
wine, was introduced from 1995 onwards to enable selection amongst our vines
growing in the Margaux appellation area. Fruit from our youngest vines is used
to produce this wine, which respects the identity of its terroir, while
offering a tasty round fruitiness, which can be enjoyed earlier., At the <strong>background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-weight: normal;"">tasting</strong>, blason d’issan is very
identifiable with the terroir of Margaux by its elegance and its fruitiness.
The know-how of château d’issan is reflected in the blend chosen and allows a
real resemblance to the first wine."
1179,CHATEAU CONTINEL FAM ARBEAU GRAND RESERVE_750ML,750,3990,CHATEAU CONTINEL,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Well
balanced with aromas of strawberry, cherries and herbs."
1180,CHATEAU COS D ESTOURNEL_750ML,750,81000,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau Branaire is a
winery in the Saint-Julien appellation of the Bordeaux region of France. Chateau
Branaire is also the name of the main red wine produced by this property and
which was classified as one of the ten 'Fourth Growths' (Quatrièmes Crus) in
the Bordeaux Wine Official Classification of 1855., Chateau Branaire is a
winery in the Saint-Julien appellation of the Bordeaux region of France. Chateau
Branaire is also the name of the main red wine produced by this property and
which was classified as one of the ten 'Fourth Growths' (Quatrièmes Crus) in
the Bordeaux Wine Official Classification of 1855."
1181,CHATEAU COSSIEU COUTELIN SAINT ESTEPHE_750ML,750,7000,CHATEAU COSSIEU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau Brane Cantenac is a
Second Grand Cru Classe. Owned by the Lurton family since 1973, Henri
Lurton took over the management of the estate in 1992. The terroir of Château
Brane Cantenac, of remarkable quality, combined with the great perfectionism of
its owner, is at the origin of this great success. One of the very
beautiful Médoc brands and a sure bet., Chateau Brane Cantenac is a
Second Grand Cru Classe. Owned by the Lurton family since 1973, Henri
Lurton took over the management of the estate in 1992. The terroir of Château
Brane Cantenac, of remarkable quality, combined with the great perfectionism of
its owner, is at the origin of this great success. One of the very
beautiful Médoc brands and a sure bet."
1182,CHATEAU COUCHEROY PESSAC LEOGNAN ROGUE_750ML,750,4470,CHATEAU COUCHEROY,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"At
chateau client, everyone aspires to offer the best from the terroirs of
pomerol, with passion and know-how. By client, pomerol was created to artfully
blend the three different types of terroirs that characterize pomerol. Client
works with a selection of wine-growers to compose this original wine, including
chateau client. The vinification and ageing are carried out by the same team
and with as much attention as for the “grand vin”. Ageing in second-fill
barrels brings out the freshness and finesse of the aromas.<u1:p></u1:p><u2:p></u2:p><o:p></o:p>, Its atypical packaging makes it
recognizable among all. Gordon Hopkins, who has illustrated by client, is an American
artist. His work finds its strength in his unique technique, setting layers of
bold colours with oil bars and paint. Gordon’s work brings with it a sense of
exploration, an interpretation of our surroundings from his point of view,
filed with colour, movement and a sense of joy. Gordon Hopkins came to client
during summer 2017 and after a friendly lunch, he strolled through the vineyard
of pomerol. The small estates, crossed by country lanes and the gaiety of the
summery scenery brought the inspiration to create this joyful patchwork., Complex
flavours of dry red fruit, prune and Melanos Porum truffle intertwine on the
nose. Gentle, fruity and well-balanced on the palate, it develops into a lush
aromatic palette of cranberry, redcurrant and fresh plum with hints of fresh
hazelnut. A pure expression of the power and charm of the pomerol terroir."
1183,CHATEAU D ISSAN MARGAUX_750ML,750,29250,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau
canon-la-gaffeliere is a Bordeaux wine from the appellation saint-emilion,
ranked premier grand cru classe in the classification of saint-emilion wine.
The winery is located in the right bank of France’s Bordeaux wine region in the
commune of saint-emilion, in the department Gironde., When tasting, chateau canon la gaffeliere offers
a strong wine, very well structured, complex, pure and always elegant."
1184,CHATEAU DE PARANCHERE BORDEAUX SUPERIO_750ML,750,3995,CHATEAU DE PARENCHERE,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,
1185,CHATEAU DE PARENCHERE CUVEE RAPHAEL_750ML,750,3995,CHATEAU DE PARENCHERE,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau client is one of
the oldest vineyards in pomerol. Old maps unearthed by the estate show that
vines were planted in 1785. From there, the vineyard became the property of the
constant family, before it passed to the arnaud family. The arnaud’s had good
taste in wine. At the same time, they were also owners of the famed Bordeaux
wine property, Petrus.<o:p></o:p>, Chateau client is one of
the few pomerol properties with a large percentage, (large for pomerol) of
cabernet sauvignon in their vineyards. The 11.27-hectare vineyard of chateau client
is planted to 88% merlot, 11.5% cabernet sauvignon and .5% cabernet franc.<o:p></o:p>, The young are at the
higher level of density. On average, many of their vines are close to 45 years
of age. However, chateau client also has some of the oldest vines in pomerol. The
wines of client are rich, supple, sensuous, powerful and in the best vintages,
offer floral, chocolate and spicy flavors.<o:p></o:p>, The wine ages well,
developing sensuous textures and aromatic complexities. Chateau client is
winning a lot of friends with its new high quality and their very friendly
pricing policy due to a desire to build long term relationships with customers.
For the time being prices remain low for a pomerol of this level of quality,
making chateau client a property to keep an eye on.<o:p></o:p>, The
wines of client are rich, supple, sensuous, powerful and in the best vintages,
offer floral, chocolate and spicy flavors. The wine ages well, developing
sensuous textures and aromatic complexities."
1186,CHATEAU GAZIN POMEROL_750ML,750,44000,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"This wine offers aromas
of black fruits (blackberries, cassis), flowers (violet, peony) and spices (liquor
ice, pepper) reinforced by aging in oak barrels. Elegance and aromatic
complexity characterize this wine., It is
a full clear red with a deep ruby robe and very watery meniscus and lots of
legs. Spicy sandalwood nose Taste of plummy fruit, mouth filling."
1187,CHATEAU GOUMIN BORDEAUX RED_750ML,750,2640,CHATEAU GOUMIN,FRANCE,Imported,Wine,imported,Red Wine,180ML 375ML 750ML,RED WINE,"Château cos d'estournel
is a winery in the saint-estephe appellation of the bordeaux region of France.
It is also the name of the red wine produced by this property. The wine
produced here was classified as one of fifteen deuxiemes crus (second growths)
in the original Bordeaux wine official classification of 1855., The cos d estournel offers a stunning balance
between extraordinary richness and surprising freshness. Its nose
offers powerful aromas of blackcurrant, blackberry, nutmeg, black tea and
spices alongside vivacious mineral notes."
1188,CHATEAU GRAND PUY DUCASSE_750ML,750,18950,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"The vines of Chateau
Cossieu-Coutelin, in the prestigious appellation of Saint-Estephe in the
Haut-Medoc, are planted in a clay and limestone soil which contributes to its
outstanding quality. The vineyard was bought in 1977 by Marcel and Christian
Quancard. 52% Merlot, 48% Cabernet Sauvignon., An elegant bouquet mingling
toasted, woody nuances from the barrel-ageing with notes of fruit in
brandy; the palate is still firm and powerful, with a good tannic
structure that promises an excellent capacity to age; a fine expression of
a great terroir."
1189,CHATEAU HAUT BALASTARD BORDEAUX SUPERIEUR_750ML,750,2300,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"""Couchiroy"" or
""Couche Roi"" in Gascon. According to legend, one stormy evening, King
Henri IV, returning from the Battle of Coutras, stopped here for a rest. This
red Pessac-Léognan is easy-to-enjoy, smooth and fruity. It nevertheless
displays the elegance and finesse typical of wines from this region of Bordeaux
Graves. Château Coucheroy has classic blackcurrant and smoky aromas reminiscent
of the atmosphere in a gentleman’s club., Appearance: - Lovely, very deep
garnet-red colour.<o:p></o:p>, Nose: - This wine displays
tremendous intensity and complexity on the nose. Swirling in the glass reveals
a delicious array of red fruit, tobacco and vanilla aromas, underpinned by a
touch of spice.<o:p></o:p>, Mouth: - Starts out
straightforward, with a noticeable, yet not excessive, tannic structure. The
wine becomes full-bodied mid-palate, with smooth tannins, culminating in a
wonderfully round finish. Notes of red fruit and liquorice fill the palate,
making for an eminently enjoyable wine. This wonderfully balanced 2018 Couche
Roy will gladly withstand ageing for a few years. The perfect partner for
stuffed tomatoes, Basque-style chicken, or a nice steak."
1190,CHATEAU HAUT BATAILLEY VERSO PAUILLAC_750ML,750,11550,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"The vineyard is divided into several parcels and each farm is made
according to this distribution to maximize the qualitative aspect. Blason
d’Issan is the second wine of the property, created in 1995. Coming from young
parcels (around 20 years old) in the Margaux appellation, its grape variety is
close to that of the great wine, <strong style=""""><span style=""font-weight: normal;"">65% Cabernet Sauvignon and 35% Merlot.</strong> Blason
d’Issan is also aged in barrels for 14 to 16 months, 35% of which is new wood., At the <strong>background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-weight: normal;"">tasting</strong>, Blason d’Issan is very
identifiable with the terroir of Margaux by its elegance and its fruitiness.
The know-how of Chateau d’Issan is reflected in the blend chosen and allows a
real resemblance to the first wine."
1191,CHATEAU HAUT LOGAT HAUT MEDOC_750ML,750,4900,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"The
wine shows a soft, harmonious aroma, notes of ripe woven of dark fruit,
raspberry, blackcurrant, undergrowth and spices., The
wine shows a soft, harmonious aroma, notes of ripe woven of dark fruit,
raspberry, blackcurrant, undergrowth and spices."
1192,CHATEAU LA FLEUR PETRUS_750ML,750,185000,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"The Cuvee Raphael is
the flagship wine of Chateau de Parenchere. Made in memory of the
renovator of the estate, Raphael Gazaniol, it is produced from a selection of
the finest plots and 40-year-old vines with especially low yields., The Cuvee Raphael offers
delicate aromas of ripe cherry and cassis on the nose. On the palate, the wine
is harmonious; displaying power, structure and freshness all at once. The fruit
is omnipresent and the tannins are present but very soft."
1193,CHATEAU LA LOUVIERE RED_750ML,750,8850,CHATEAU LA,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"<span style=""font-size: 10pt; font-family: Arial, sans-serif; border: 1pt none windowtext; padding: 0cm; background-image: initial; Chateau Gazin was reputedly built upon the ruins of the hospital
de pomeyrols which was originally established by the knights of Malta in
the 12th century. It has been owned by the Baillie courts dit courol, one
of France’s oldest families, since the beginning of the last century.<u1:p></u1:p><u2:p style=""font-family: Poppins, Helvetica, sans-serif; font-size: 13px;""></u2:p> Gazin is located in the
eastern part of the pomerol plateau, where the soils are rich in clay and
limestone. Gazin's 26-hectare vineyard (large by pomerol standards) adjoins the
vineyards of <span style=""font-size: 10pt; font-family: Poppins; border: 1pt none windowtext; padding: 0cm; background-image: initial; l`<span style=""font-size: 10pt; font-family: Arial, sans-serif; border: 1pt none windowtext; padding: 0cm; background-image: initial; evangile and <span style=""border:none windowtext 1.0pt;
mso-border-alt:none windowtext 0cm;padding:0cm"">Petrus. The wine is a blend of merlot (80%), cabernet
franc (15%) and cabernet<span style=""font-size: 10pt; font-family: Poppins; border: 1pt none windowtext; padding: 0cm; background-image: initial;  <span style=""font-size: 10pt; border: 1pt none windowtext; padding: 0cm; background-image: initial; sauvignon (5%).
The grapes are vinified traditionally and the wine is matured in oak barriques
(50% new) for 15-18 months., Plum, back cherry, coffee bean
and cassis aromas open to a full bodied, beefy, masculine Bordeaux wine from
Pomerol. The wine ends with a concentrated, tannic, red and black fruit
filled finish."
1194,CHATEAU LAFITE ROTHSCHILD_750ML,750,475000,CHATEAU LAFITE,FRANCE,Imported,Wine,imported,Red Wine,750ML 375ML,RED WINE,"From the legendary Bordeaux producer, Andre Lurton, this
wine is extremely popular in India due to its value-priced combination and is a
classic introduction to the red wines of Bordeaux. Lovely crystal-clear pale
yellow colour, hinting at the wonderful freshness to come on the palate. An
intense bouquet featuring remarkably fruity aromas. Delicate nuances of white
flowers and citrus fruit fill the glass., Appearance:
This wine is a beautifully intense, purplish-red
color.<o:p></o:p>, Nose: The bouquet features delicious, fresh, black-berry fruit
(blackcurrant), as well as hints of spices and liquor ice, promising great
enjoyment.<o:p></o:p>, Mouth: It is soft, smooth, and very rich on the palate, with
unobtrusive tannin. It is an expressive wine, with the same charming fruit
(blackcurrant, raspberry) that were so attractive on the bouquet. The overall
impression is well-balanced, with lovely length. It is delicious with toasted
sandwiches, boneless chicken breast cooked in paper parcels, or a buffet lunch
of delicatessen meats."
1195,CHATEAU LAGRANGE SAINT JULIEN_750ML,750,24750,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Grand Puy Ducasse has 45
hectares of well-sited vineyards, one parcel on a gravel plateau near
Batailley, and another adjacent to Lafite-Rothschild and Mouton-Rothschild. The
wine is a blend of 61% Cabernet Sauvignon and 39% Merlot - it is
matured in oak casks (30% new) for 18 months before being bottled., <span lang=""EN"" style=""font-size: 10pt; font-family: Arial, sans-serif; background-image: initial; Red fruits and white pepper on the nose, and delicate notes of liquorice
and blackcurrant syrup after aeration. On the palate, the wine is medium-bodied, with fruits and supple
tannins. A delicious wine to enjoy with red or white grilled meat or hard
cheese."
1196,CHATEAU LES FORTS DE LATOUR_750ML,750,122500,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Nose. On the nose, the aromas are pleasant, fruity, with
red berries and hints of liquorice.<o:p></o:p>, Palate. The palate is harmonious and the finish is fresh,
fruity and persistent.<o:p></o:p>, Winemaking. Traditional methods are used, with careful
temperature control., Appearance. Deep ruby robe color."
1197,CHATEAU LYNCH BAGES PAUILLAC_750ML,750,69500,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"
The grand vin 2018 château haut-batailley is a beauty and
is comprised of 59% cabernet sauvignon and 41% merlot brought up in 60% new French
oak. It's an attractive, elegantly styled wine that has lots of juicy merlot
notes of black cherries, graphite, scorched earth, and spice. Rich, medium to
full-bodied, beautifully balanced, and with terrific purity on the palate, this
brilliant pauillac is going to be approachable in just a few years and will
evolve gracefully. <u1:p></u1:p><u2:p></u2:p><o:p></o:p>, <span style='font-size:
10.0pt;font-family:Fresh and driven, opening with a
piercing iron note that is quickly met by a core of racy cassis and damson plum
flavors. Everything extends nicely through the pure finish. Cabernet sauvignon
and merlot.<o:p></o:p>, <u3:p></u3:p>
, Dark and pure on the nose just a touch
stony/smoky to add finesse to the fruit. Oak is quite evident on the palate but
there's fruit to fill it out. Less aromatic than the second wine (new name:
verso) but there's still a restraint and subtlety in a powerful vintage. Long
on the finish yet the persistence is gentle. Fine-grained tannin texture., <span lang=""EN"" style=""font-size: 10pt; font-family: Arial, sans-serif;"">Aroma: the nose is very complex, nuanced, approachable
style with a classic pauillac dark fruits., Palate: on the palate this wine is succulent and
seamless, it nevertheless has a balance structure and purity to keep the wine
for 20 years or more."
1198,CHATEAU MARGAUX_750ML,750,305000,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"The
Château's vineyard overlooks the village of Cissac-Médoc, between Saint-Estèphe
and Pauillac., <br style=""-webkit-font-smoothing: antialiased; text-rendering: optimizelegibility;""/>
<span style=""background-image: initial; Its wine is
the reflection of this unique location, unveiling real character with each new
vintage.<br style=""-webkit-font-smoothing: antialiased; text-rendering: optimizelegibility;""/>
<span style=""background-image: initial; As on all
the estates of Vignobles M&amp;C Quancard, the best techniques of traditional
and modern vinification are combined with 15 months of barrel aging to develop
all the features of the traditional characteristics of a great Médoc wine., Beautiful
deep color with glints of purple. Very expressive nose, dominated by the
Cabernet Sauvignon with a hint of menthol. Delicious on the palate, with
superb length and notes of black fruit and blueberries on the finish."
1199,CHATEAU MARGAUX PAVILLON ROUGE_750ML,750,133500,CHATEAU MARGAUX,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,
1200,CHATEAU MONT REDON CHATEAUNEUF DE PAPE_750ML,750,10950,CHATEAU MONT,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau
La Louviere has many fascinating facets. The sumptuous architecture of the
château building dates from the late 18th century, but winegrowing here goes
back more than 700 years. The first vines were planted circa 1310, although
modern winemaking dates from the 17th century and was handed down by able monks
from the Carthusian monastery in Bordeaux, who had acquired considerable talent
as viticulturists and winemakers. The people who produce the wine in the 21st
century have inherited these time-honored methods, adding just the right amount
of innovation and modernity to make the utmost of the outstanding terroir. La
Louviere's red wine has a dark colour and an elegant bouquet with delicate
hints of oak., Colour is a deep red,
close to ruby, with occasional hints of purple., On the palate, it is a
perfectly balanced wine. Everything blends together harmoniously: well-melted
tannins, tasty black fruits (blackberry), a hint of chocolate, a nice volume
and a beautiful structure., It is a very seductive
wine that should be kept for 2 or 3 years to appreciate its elegance, by
tasting it with a stuffed guinea fowl, a pan of mushrooms (ceps, chanterelles),
or a cheese (Roquefort)."
1201,CHATEAU MONTROSE_750ML,750,58500,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Deep, dark colour. The nose is
still reserved but offers a glimpse of enormous aromatic potential that will be
revealed over time. Very fresh, with delicate notes of cedar and mint. Intense
and vibrant on the palate, giving the impression of tremendous power still
contained. Despite its youth, this wine presents a very harmonious character,
in which one can already appreciate the qualities of a great Lafite, combining
finesse and concentration."
1202,CHATEAU MOUTON ROTHSCHILD_750ML,750,310000,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Pomerol,
Bordeaux, France- This is a lovely, approachable wine made from 70 % Merlot and
30 % Cabernet Franc. The nose greets you with the delightful scent of crushed
blackberries, and the wine is soft and supple on the palate with delicate fruit
flavors of sweet cherry and dark fruits (Elegant, Blackberry, Cherry,
Medium-bodied)."
1203,CHATEAU PALMER MARGAUX_750ML,750,199850,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Les forts de Latour takes its name from an historic
plot in the. The wine was first labelled with this name in 1966 and constant
work on developing its quality has resulted in it achieving the level of a
Medoc grand cru classe., Les forts de Latour takes its name from an historic
plot in the. The wine was first labelled with this name in 1966 and constant
work on developing its quality has resulted in it achieving the level of a
Medoc grand cru classe."
1204,CHATEAU PHELAN SEGUR_750ML,750,22500,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Daring, innovative and
with a reputation for often being the last to harvest, Jean-Charles Cazes
defined the style of Lynch-Bages in the 1930's. The wine's distinctive
character has earned it a place amongst Pauillac's greatest. It combines
structure, finesse and elegance, offering generous aromas in its youth and
developing deeper complexities with bottle age., The estate’s reputation as
a top-quality wine producer took off in 1945 after a series of exceptional vintages.
Since then, Lynch-Bages has continued to produce excellent wines, even during
years considered difficult in the Bordeaux region. The wine’s deep colour and
tannic backbone have become part of its signature style. Jean-Michel Cazes,
grandson of Jean-Charles, has worked hard to develop and refine the wine’s
supple and smooth structure over the years. Vintage after vintage, the estate’s
precise and excellent winemaking techniques have served to firmly establish
Lynch-Bages reputation for consistent quality."
1205,CHATEAU PONTET CANET_750ML,750,55750,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Margaux,
Bordeaux, France- Tannic and slightly dry on the palate, initially with some
burnt aromas, but then gives way to wonderful aromas of cedar, spices, flower
petals, dried fruit, and cassis., Margaux,
Bordeaux, France- Tannic and slightly dry on the palate, initially with some
burnt aromas, but then gives way to wonderful aromas of cedar, spices, flower
petals, dried fruit, and cassis."
1206,CHATEAU ROMBEAU COTES DU ROUSSILLON VILLAGES_750ML,750,1695,CHATEAU ROMBEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,,"It combines the concentration
of a medoc with tannins of immense distinction like no other wine. It is an
iron fist in a velvet glove. The nose develops aromas of violet, blackcurrant
and blackberry. On the palate it is generous, smooth and completely pure. An
iconic wine which should be enjoyed after aging fifteen to thirty-five years in
the cellar."
1207,CHATEAU ROMBEAU COTES DU VILLAGE TRADITION_750ML,750,1800,CHATEAU ROMBEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,,"60% Grenache, 30% Syrah, 8%
Mourvedre and 2% Cinsault, Counoise, Muscardin and Vaccarese. 100% - stemmed
and fermented for 2-3 weeks in stainless steel tank. Matured half in stainless
steel tank and half in barriques (50% new) for 12-15 months, before blending
and a further 3 months maturation in tank. Limpid ruby-red. Mineral-tinged
aromas of raspberry, cherry liqueur, garrigue and exotic spices show excellent
clarity and take on a minerally nuance as the wine opens up. At once rich and
lively in style, offering penetrating red berry, bitter cherry and spicecake
flavors and a touch of candied lavender. Shows superb definition and finishes
smooth, spicy and impressively long, leaving behind a bright mineral note., <span lang=""EN-GB"" style=""font-size: 10pt; font-family: Arial, sans-serif;"">The Chateau Mont-Redon Chateauneuf du Pape Rouge has a
pleasant violet dark hue., <span lang=""EN-GB"" style=""font-size: 10pt; font-family: Arial, sans-serif;"">The nose shows great complexity with blackberries
fruits and toasted aromas. The mouth starts with a dense and firm but very
classic tannic structure that will require several years of patience., It still remains that this
wine is very well-balanced and finishes on liquor ice and smoky hints. A bottle
built for aging."
1208,CHATEAU TIMBERLAY BORDEAUX SUPERIEUR WINE_750ML,750,3250,CHATEAU TIMBERLAY,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau
Montrose is a winery in the Saint-Estephe appellation of the Bordeaux
region of France. The wine produced here was classified as one of fourteen
Deuxiemes Crus (Second Growths) in the original Bordeaux Wine Official
Classification of 1855., The colour is dark, a deep and intense ruby colour with
incredible density., The nose is delicate and very complexe. With aeration, the
nose reveals aromas of black fruit and white flowers accompanied by subtle
smoky notes., On the palate, the attack is full with exceptional aromatic
richness. Powerful and silky, it offers incredible lenght and finesse., A classy, elegant and very precise wine that perfectly
reflects the signature of our terroir."
1209,CHATEAU TIMBERLAY PRESTIGE WINE_750ML,750,5200,CHATEAU,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Lots of lavish aromas of ripe fruits, light
toasted oak, walnut, and dried meat, this full-bodied wine has it all. Wanting
something light and very easy on the tongue, yet leaves a long taste? This wine
is really amazing. With chewy tannins and plenty of fruit, this is a muscular
and solid wine. Delivering a gorgeously pure beam of cassis and cherry compote,
singed apple wood, and graphite, this long and polished wine shows serious
depth in reserve. , The color is intense, a
dark red with brilliant highlights., The supremely elegant nose
displays red fruit aromas with touches of spice.on the palate, a smooth, creamy
attack yields powerful, velvet tannins. The roundness is remarkable, giving the
wine very attractive length., The finish reveals vanilla
and chocolate aromas, with pleasant floral notes., A very fine, classic
mouton and a great success in a tricky vintage."
1210,CHATEAU TOUR DE SEGUR_750ML,750,4490,CHATEAU TOUR DE SEGUR,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Chateau palmer’s wines.
Its words. Different expressions of a single terroir, born of a common
philosophy. Homages to a natural environment and to the traditions of an
estate, over time they begin to resonate. Not with power, but with finesse,
with elegance. With age, grand crus, the words of château palmer, take on ever
greater meanings., That of a terroir,
expressed in the wines of chateau palmer. Parcel by parcel, the estate’s teams
must nurture it daily. Merlot, cabernet sauvignon and petit verdot, protected
and enriched by nature in all its diversity, develop notes of fruit, flowers and
spice. Never exuberance – on the contrary, with each passing year, ever greater
harmony, and length omnipresent. Aromatic richness, powerful tannins, and
between them – velvet."
1211,CHATEAU TROTTE VIEILLE SAINT EMILION_750ML,750,23550,CHATEAU TROTTE,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,
1212,CHATEAUNEUF DU PAPE LES CEDRES_750ML,750,10900,PAUL JABOULET AINE,FRANCE,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Pontet Canet is a
powerful Bordeaux wine. It's concentrated, balanced, tannic, and charming as
well. The recent success of Pontet Canet is due to the current management of
the estate by Alfred Tesseron who is helped by the director, Jean-Michel Comme., The wine is deep, glossy
crimson. The fresh nose reveals an elegant balance of fruity, floral and
mineral notes. Great harmony is found on the palate between a highly refined
tannic structure and comforting depth and length. A very fine wine indeed."
1213,CHIANTI LA PIUMA_750ML,750,2850,LA PIUMA,ITALY,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Grapes from each separate plot are fermented separately in
large still vats, allowing for slow, gentle extraction of the tannins. The wine
is bot-tling at the château early the next year of the harvest., The style of our red wine is very classic, with a beautiful
expression of our terroir of Agly Valley which gives unique strawberry notes.
We pursue structure, elegance and freshness and complexity, balance, and
richness."
1214,CHINKARA CABERNET MERLOT VICTORIA_750ML,750,2990,CHINKARA,AUSTRALIA,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Full bodied and well textured on the palate revealing the
smooth character Perfact with red meat and soft cheese recommended."
1215,CINZANO ROSSO_750ML,750,1999,CINZANO,ITALY,Imported,Wine,imported,Red Wine,750ML,,"This clear, bright wine is a
superb ruby-red colour, with a complex nose of soft fruit (blackberry,
blackcurrant and strawberry) and attractive woody and spicy overtones."
1216,CIV &amp; CIV LAMBRUSCO RED_750ML,750,1650,CIV &amp; CIV,ITALY,Imported,Wine,imported,Red Wine,750ML,RED WINE,"<font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">This
clear, bright wine is ruby-red in colour, with a complex nose of soft fruit
(blackberry, blackcurrant and strawberry) and attractive woody and spicy
overtones. Chateau <span style=""font-size: 13.3333px;"">Timberly<span style=""font-size: 10pt;""> is soft and full-bodied, with good structure and
acidity, as well as very elegant tannin. The finish is very long with hints of
vanilla and cinnamon., <font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">This
clear, bright wine is ruby-red in colour, with a complex nose of soft fruit
(blackberry, blackcurrant and strawberry) and attractive woody and spicy
overtones. Chateau <span style=""font-size: 13.3333px;"">Timberly<span style=""font-size: 10pt;""> is soft and full-bodied, with good structure and
acidity, as well as very elegant tannin. The finish is very long with hints of
vanilla and cinnamon."
1217,CLOS DU CUVEE DE LA CITADELLE_750ML,750,3850,CLOS DU CUVEE,LEBANON,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Made from a terroir of character, the wines of
Chateau Tour de Segur are distinguished by their deep color and the subtle
bouquet, all in finesse and generosity., Appearance: -Intense, cherry red colour., Nose: -Nose is particularly pleasant with notes of ripe red fruit, mixed
with hints of spice and vanilla., Mouth: -On the palate, very pleasant balance between structure and
volume, offering good drinkability. The red fruit aromas, already perceived on
the nose, are found here, where they blend elegantly with some more woody
notes. Beautiful tannic structure gives it a good ageing potential and it can
be left to age a little longer to appreciate all its qualities. Ideal partner
for mushroom toast as a starter, for oven-roasted duck or even for pork knuckle
with lentils."
1218,CLOS DU PHOENIX CHATEAU SYRAH_750ML,750,4499,CLOS DU PHOENIX,LEBANON,Imported,Wine,imported,Red Wine,750ML,RED WINE,"The property is located on a plateau
east of St-Emilion and the 10-hectare walled vineyard is planted with Merlot
(50%), Cabernet Franc (45%) and Cabernet Sauvignon (5%). The grapes are
hand-harvested and then fermented in small, temperature-controlled concrete
vats., There are still very
attractive black cherries and iodine scents on the nose that gradually unfold
with aeration. A touch of fresh fig appears in the background. The
well-balanced palate delivers pure blackberry and raspberry fruit laced with
graphite and minerals."
1219,CLOUDY BAY PINOT_750ML,750,5491,CLOUDY BAY,NEW ZEALAND,Imported,Wine,imported,Red Wine,750ML,RED WINE,"Beautiful
texture and mouthfeel, offering balance, complexity and intensity. This wine
has a velvety character, and a long finish. On the nose there is lots of fruit,
plum, oak and spice, with a touch of leather and game coming through from the
tertiary characteristics. On the palate there is a savory, bacon character,
oak, and perfume on the finish. It’s drinking well now., <font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">Beautiful
texture and mouthfeel, offering balance, complexity and intensity. This wine
has a velvety character, and a long finish. On the nose there is lots of fruit,
plum, oak and spice, with a touch of leather and game coming through from the
tertiary characteristics. On the palate there is a <span style=""font-size: 13.3333px;"">savory<span style=""font-size: 10pt;"">, bacon character,
oak, and perfume on the finish. It’s drinking well now."
